repo1,repo2,Similarity(No. 1),Similarity(No. 2)
unoconv/unoconv,jindaxiang/akshare,0.181,0.126
dbcli/litecli,awesto/django-shop,0.538,0.633
schematics/schematics,schematics/schematics,0.368,0.583
seatgeek/sixpack,seatgeek/sixpack,0.353,0.514
pykong/copier,AtsushiSakai/PythonRobotics,0.677,0.349
facebookresearch/hydra,flask-restful/flask-restful,0.323,0.551
pybee/toga,pybee/toga,0.106,0.289
facebookresearch/pytext,psf/requests,0.972,0.576
laixintao/iredis,pyenv/pyenv,0.891,0.477
amitt001/delegator.py,sqlmapproject/sqlmap,0.147,0.248
libvips/pyvips,fogleman/Quads,0.07,0.268
awesto/django-shop,peterbrittain/asciimatics,0.59,0.634
frewsxcv/python-geojson,geopy/geopy,0.612,0.587
pybee/toga,ChrisKnott/Eel,0.093,0.077
msiemens/tinydb,pyca/pynacl,0.267,0.239
rossgoodwin/hmap,pypa/virtualenv,0.759,0.954
scrapinghub/portia,lancopku/pkuseg-python,0.759,0.941
martinrusev/imbox,martinrusev/imbox,0.216,0.457
aizvorski/scikit-video,sdispater/orator,0.497,0.386
daviddrysdale/python-phonenumbers,dabeaz/ply,0.25,0.09
boppreh/keyboard,SavinaRoja/PyUserInput,0.177,0.071
derek73/python-nameparser,derek73/python-nameparser,0.048,0.415
PyMySQL/mysqlclient-python,stephenmcd/mezzanine,0.168,0.61
python-greenlet/greenlet,gmr/queries,0.65,0.078
zopefoundation/ZODB,patx/pickledb,0.194,0.054
django-cache-machine/django-cache-machine,lericson/pylibmc,0.09,0.112
ahupp/python-magic,jaraco/path.py,0.135,0.111
thumbor/thumbor,fogleman/Quads,0.079,0.132
martinrusev/imbox,dfunckt/django-rules,0.49,0.28
psf/requests-html,psf/requests-html,0.201,0.346
html5lib/html5lib-python,evhub/coconut,0.547,0.439
audreyr/cookiecutter,sloria/doitlive,0.685,0.673
django-guardian/django-guardian,timothycrosley/isort,0.969,0.805
sergree/matchering,ponyorm/pony,0.443,0.346
Alir3z4/python-currencies,getsentry/responses,0.163,0.412
kornia/kornia,ageitgey/face_recognition,0.065,0.064
scanny/python-pptx,python-excel/xlrd,0.118,0.043
