repo1,repo2,Similarity(No. 1),Similarity(No. 2)
stephenmcd/hot-redis,kiddouk/redisco,0.134,0.305
hhatto/nude.py,libvips/pyvips,0.372,0.041
rogerbinns/apsw,wemake-services/wemake-python-styleguide,0.612,0.148
seatgeek/sixpack,locustio/locust,0.072,0.043
giampaolo/psutil,giampaolo/psutil,0.199,0.091
tylerlaberge/PyPattyrn,twisted/treq,0.941,0.498
devpi/devpi,binux/pyspider,0.799,0.468
mkdocs/mkdocs,mkdocs/mkdocs,0.064,0.523
statsmodels/statsmodels,Fizzadar/pyinfra,0.131,0.709
evhub/coconut,pytoolz/toolz,0.205,0.053
shazow/urllib3,shazow/urllib3,0.077,0.038
getsentry/sentry-python,h2oai/h2o-3,0.318,0.783
dirn/When.py,Delgan/loguru,0.402,0.862
errbotio/errbot,sloria/doitlive,0.189,0.325
audreyr/cookiecutter,mooz/percol,0.171,0.23
kootenpv/yagmail,devpi/devpi,0.29,0.485
altair-viz/altair,ZoomerAnalytics/xlwings,0.253,0.307
mozilla/bleach,html5lib/html5lib-python,0.269,0.037
worldveil/dejavu,tyiannak/pyAudioAnalysis,0.429,0.077
timofurrer/try,facebook/PathPicker,0.245,0.395
ZoomerAnalytics/xlwings,pycco-docs/pycco,0.533,0.375
bbangert/beaker,tartiflette/tartiflette-aiohttp,0.277,0.138
FactoryBoy/factory_boy,martinblech/xmltodict,0.179,0.115
wtforms/wtforms,nficano/python-lambda,0.76,0.44
kiddouk/redisco,MongoEngine/mongoengine,0.347,0.611
pypa/virtualenv,pyenv/pyenv,0.524,0.168
stephenmcd/mezzanine,waylan/Python-Markdown,0.891,0.172
andialbrecht/sqlparse,selwin/python-user-agents,0.323,0.052
tyiannak/pyAudioAnalysis,Parisson/TimeSide,0.259,0.051
Microsoft/PTVS,Microsoft/PTVS,0.292,0.698
martinblech/xmltodict,gabrielfalcao/HTTPretty,0.605,0.686
kornia/kornia,maxmind/geoip-api-python,0.543,0.865
django-cache-machine/django-cache-machine,MagicStack/uvloop,0.64,0.926
geex-arts/django-jet,wooey/wooey,0.084,0.853
elastic/elasticsearch-dsl-py,vispy/vispy,0.436,0.86
jiaaro/pydub,jmcnamara/XlsxWriter,0.105,0.114
codeinthehole/purl,ellisonleao/pyshorteners,0.179,0.112
jiaaro/pydub,pytransitions/transitions,0.217,0.393
django/daphne,django/daphne,0.136,0.445
hugapi/hug,worldveil/dejavu,0.089,0.637
pallets/jinja,clips/pattern,0.074,0.548
keras-team/keras,bokeh/bokeh,0.079,0.358
gunnery/gunnery,jazzband/localshop,0.09,0.266
zoofIO/flexx,spyoungtech/grequests,0.208,0.19
bloomberg/bqplot,Alir3z4/python-currencies,0.536,0.177
pybee/toga,RaylockLLC/DearPyGui,0.049,0.122
gak/pycallgraph,uber/pyflame,0.071,0.132
python-openxml/python-docx,jmcnamara/XlsxWriter,0.368,0.232
pallets/jinja,spyoungtech/grequests,0.841,0.436
dabeaz/ply,dabeaz/ply,0.105,0.148
google/pyringe,nose-devs/nose2,0.111,0.196
Maratyszcza/PeachPy,tomerfiliba/rpyc,0.449,0.298
klen/pylama,mining/mining,0.092,0.175
erikrose/more-itertools,gaojiuli/toapi,0.454,0.436
mozilla/bleach,mozilla/bleach,0.399,0.317
MechanicalSoup/MechanicalSoup,tschellenbach/Stream-Framework,0.429,0.163
lancopku/pkuseg-python,isnowfy/snownlp,0.085,0.26
gorakhargosh/watchdog,dmlc/mxnet,0.258,0.302
WiserTogether/django-remote-forms,zostera/django-bootstrap4,0.272,0.331
daboth/pagan,daboth/pagan,0.284,0.594
buriy/python-readability,gotcha/ipdb,0.164,0.696
stephenmcd/mezzanine,Miserlou/Zappa,0.065,0.18
LuminosoInsight/python-ftfy,chardet/chardet,0.047,0.227
amitt001/delegator.py,tyiannak/pyAudioAnalysis,0.943,0.93
antocuni/pdb,henriquebastos/python-decouple,0.724,0.962
geex-arts/django-jet,ajenti/ajenti,0.07,0.097
carlospalol/money,Alir3z4/python-currencies,0.094,0.13
agiliq/merchant,cloudnativelabs/kube-shell,0.722,0.626
davidaurelio/hashids-python,skorokithakis/shortuuid,0.181,0.69
flask-api/flask-api,dbcli/litecli,0.365,0.338
elapouya/python-docx-template,scanny/python-pptx,0.105,0.201
mailgun/flanker,nficano/python-lambda,0.932,0.278
gleitz/howdoi,timofurrer/try,0.728,0.208
django-haystack/django-haystack,django-haystack/django-haystack,0.545,0.223
vandersonmota/model_mommy,psf/requests-html,0.249,0.191
marrow/mailer,marrow/mailer,0.073,0.675
xonsh/xonsh,0rpc/zerorpc-python,0.595,0.748
mitsuhiko/unp,flask-api/flask-api,0.348,0.65
python-openxml/python-docx,ZoomerAnalytics/xlwings,0.169,0.466
mher/flower,dateutil/dateutil,0.104,0.094
linkedin/shiv,metawilm/cl-python,0.613,0.132
secdev/scapy,boppreh/mouse,0.533,0.447
secdev/scapy,secdev/scapy,0.24,0.386
erikrose/more-itertools,gabrielfalcao/HTTPretty,0.972,0.78
spulec/freezegun,blaze/blaze,0.96,0.678
tyiannak/pyAudioAnalysis,sergree/matchering,0.372,0.695
bloomberg/bqplot,timofurrer/maya,0.66,0.558
pybee/toga,AtsushiSakai/PythonRobotics,0.802,0.66
mitsuhiko/unp,jet-admin/jet-bridge,0.885,0.865
pybee/toga,chriskiehl/Gooey,0.053,0.05
Suor/django-cacheops,bbangert/beaker,0.132,0.104
ironmussa/Optimus,awslabs/aws-data-wrangler,0.614,0.795
geopy/geopy,thumbor/thumbor,0.394,0.712
mkdocs/mkdocs,sunainapai/makesite,0.032,0.039
jpadilla/pyjwt,jpadilla/pyjwt,0.032,0.11
tschellenbach/Stream-Framework,aws/aws-cli,0.629,0.605
pyfilesystem/pyfilesystem2,jab/bidict,0.893,0.501
pallets/markupsafe,mobolic/facebook-sdk,0.305,0.322
klen/pylama,flask-api/flask-api,0.113,0.319
dbader/schedule,gunnery/gunnery,0.111,0.16
openai/gym,h2oai/h2o-3,0.075,0.188
lorien/grab,jmcarp/robobrowser,0.268,0.695
tiangolo/fastapi,timofurrer/maya,0.111,0.672
MagicStack/uvloop,zoofIO/flexx,0.349,0.831
lemire/simdjson,zoofIO/flexx,0.309,0.852
skorokithakis/shortuuid,wemake-services/wemake-python-styleguide,0.045,0.911
codelucas/newspaper,soravux/scoop,0.14,0.678
devpi/devpi,noxrepo/pox,0.285,0.113
coala/coala,Maratyszcza/PeachPy,0.15,0.192
sdispater/pendulum,timofurrer/maya,0.386,0.337
spulec/freezegun,sergree/matchering,0.783,0.398
tschellenbach/Stream-Framework,mitsuhiko/unp,0.468,0.691
fogleman/Quads,tylerlaberge/PyPattyrn,0.337,0.804
gabrielfalcao/HTTPretty,ibayer/fastFM,0.915,0.91
napalm-automation/napalm,noxrepo/pox,0.768,0.947
web2py/pydal,sdispater/orator,0.291,0.178
sdispater/orator,blaze/blaze,0.518,0.152
jfkirk/tensorrec,ibayer/fastFM,0.18,0.408
zopefoundation/ZODB,ZoomerAnalytics/xlwings,0.262,0.443
tyiannak/pyAudioAnalysis,ajenti/ajenti,0.802,0.848
encode/orm,python-attrs/attrs,0.83,0.822
rochacbruno/quokka,jazzband/django-taggit,0.556,0.33
WhyNotHugo/python-barcode,daboth/pagan,0.654,0.38
sightmachine/SimpleCV,psf/requests-html,0.764,0.537
myusuf3/delorean,sdispater/pendulum,0.689,0.456
JohnLangford/vowpal_wabbit,h2oai/h2o-3,0.11,0.051
podio/valideer,Julian/jsonschema,0.153,0.066
erikrose/more-itertools,erikrose/more-itertools,0.134,0.227
zopefoundation/ZODB,wireservice/csvkit,0.061,0.181
libvips/pyvips,schematics/schematics,0.651,0.805
gaojiuli/toapi,codelucas/newspaper,0.478,0.663
pyglet/pyglet,MechanicalSoup/MechanicalSoup,0.702,0.696
mwaskom/seaborn,rossgoodwin/hmap,0.548,0.532
jab/bidict,jab/bidict,0.099,0.142
libvips/pyvips,thumbor/thumbor,0.133,0.059
pwaller/pyfiglet,mozilla/bleach,0.07,0.497
hhatto/nude.py,sergree/matchering,0.124,0.581
miso-belica/sumy,pypa/virtualenv,0.917,0.609
fengsp/plan,pybee/toga,0.153,0.577
maxmind/geoip-api-python,SmileyChris/django-countries,0.761,0.785
python-openxml/python-docx,carlospalol/money,0.799,0.667
gunnery/gunnery,bloomberg/bqplot,0.083,0.573
sunainapai/makesite,lektor/lektor,0.079,0.534
jet-admin/jet-bridge,wooey/wooey,0.504,0.307
kiwicom/schemathesis,evonove/django-oauth-toolkit,0.44,0.314
google/google-api-python-client,Supervisor/supervisor,0.055,0.536
pyparsing/pyparsing,daviddrysdale/python-phonenumbers,0.042,0.439
carlospalol/money,rochacbruno/quokka,0.901,0.521
lxneng/alipay,django-haystack/django-haystack,0.799,0.436
MagicStack/uvloop,sirfz/tesserocr,0.236,0.646
nvdv/vprof,nvdv/vprof,0.444,0.546
jaraco/path.py,jaraco/path.py,0.222,0.095
wtforms/wtforms,zostera/django-bootstrap4,0.09,0.04
lepture/authlib,omab/python-social-auth,0.103,0.103
Delgan/loguru,getsentry/sentry-python,0.111,0.159
sightmachine/SimpleCV,sightmachine/SimpleCV,0.051,0.2
CleanCut/green,encode/orm,0.051,0.403
fabianp/memory_profiler,rkern/line_profiler,0.035,0.117
python-excel/xlrd,python-openxml/python-docx,0.075,0.064
thauber/django-schedule,shazow/urllib3,0.639,0.855
ryanmcgrath/twython,jek/blinker,0.559,0.933
rochacbruno/quokka,Kotti/Kotti,0.019,0.193
coleifer/micawber,miso-belica/sumy,0.071,0.096
MongoEngine/mongoengine,stephenmcd/hot-redis,0.195,0.104
graphql-python/graphene,tartiflette/tartiflette-aiohttp,0.424,0.145
pallets/werkzeug,Pylons/waitress,0.199,0.107
stephenmcd/mezzanine,indico/indico,0.193,0.071
beetbox/audioread,feincms/feincms,0.908,0.871
jmcnamara/XlsxWriter,pyexcel/pyexcel,0.389,0.631
pallets/markupsafe,timothycrosley/isort,0.074,0.478
chapmanb/bcbb,chapmanb/bcbio-nextgen,0.102,0.303
MechanicalSoup/MechanicalSoup,rq/rq,0.168,0.343
mitmproxy/pdoc,pycco-docs/pycco,0.102,0.405
feincms/feincms,rochacbruno/quokka,0.12,0.157
psf/requests,encode/httpx,0.134,0.332
lepture/authlib,lepture/authlib,0.098,0.066
wireservice/csvkit,klen/mixer,0.425,0.092
rsalmei/alive-progress,python/black,0.086,0.115
httplib2/httplib2,spyoungtech/grequests,0.042,0.099
hugapi/hug,gunnery/gunnery,0.64,0.507
rsalmei/alive-progress,bloomreach/s4cmd,0.862,0.667
stephenmcd/hot-redis,stephenmcd/hot-redis,0.272,0.296
mingrammer/diagrams,web2py/pydal,0.549,0.253
maxmind/geoip-api-python,JaidedAI/EasyOCR,0.599,0.568
michaelhelmick/lassie,codelucas/newspaper,0.174,0.419
lemire/simdjson,benfred/py-spy,0.17,0.211
lincolnloop/python-qrcode,libvips/pyvips,0.151,0.207
encode/httpx,encode/httpx,0.336,0.333
antocuni/pdb,vandersonmota/model_mommy,0.563,0.441
python-greenlet/greenlet,python-greenlet/greenlet,0.236,0.238
pallets/werkzeug,jonashaag/bjoern,0.027,0.056
crossbario/autobahn-python,pyglet/pyglet,0.322,0.35
dirn/When.py,KoffeinFlummi/Chronyk,0.193,0.227
Kotti/Kotti,stephenmcd/mezzanine,0.122,0.101
facebook/PathPicker,gleitz/howdoi,0.046,0.106
stchris/untangle,nicfit/eyeD3,0.573,0.752
mikeorr/Unipath,tiangolo/fastapi,0.141,0.735
dateutil/dateutil,zachwill/moment,0.344,0.074
vandersonmota/model_mommy,frewsxcv/python-geojson,0.706,0.09
idan/oauthlib,flask-api/flask-api,0.848,0.143
elastic/elasticsearch-dsl-py,psf/requests,0.714,0.175
ironmussa/Optimus,keunwoochoi/kapre,0.1,0.453
shinux/PyTime,dirn/When.py,0.027,0.267
pytoolz/cytoolz,pytoolz/toolz,0.094,0.118
keras-team/keras,BVLC/caffe,0.053,0.092
chapmanb/bcbb,JaidedAI/EasyOCR,0.193,0.244
mikeorr/Unipath,wemake-services/wemake-python-styleguide,0.47,0.405
fogleman/Quads,hhatto/nude.py,0.046,0.051
kevin1024/vcrpy,gabrielfalcao/HTTPretty,0.036,0.063
geex-arts/django-jet,ray-project/ray,0.948,0.774
jmcnamara/XlsxWriter,lektor/lektor,0.889,0.798
psf/requests,pallets/markupsafe,0.79,0.541
spulec/freezegun,patrys/httmock,0.733,0.434
JohnLangford/vowpal_wabbit,mahmoud/boltons,0.699,0.086
alecthomas/voluptuous,Pylons/waitress,0.804,0.113
pyinvoke/invoke,sloria/doitlive,0.208,0.063
peterbrittain/asciimatics,peterbrittain/asciimatics,0.175,0.068
kornia/kornia,mozillazg/python-pinyin,0.856,0.183
andialbrecht/sqlparse,pyparsing/pyparsing,0.843,0.278
django-crispy-forms/django-crispy-forms,awslabs/aws-data-wrangler,0.154,0.124
mitsuhiko/pluginbase,jek/blinker,0.106,0.254
worldveil/dejavu,jiaaro/pydub,0.222,0.117
r0x0r/pywebview,zoofIO/flexx,0.052,0.057
python-rope/rope,jazzband/pip-tools,0.63,0.218
clips/pattern,bokeh/bokeh,0.492,0.115
mozilla/unicode-slugify,dimka665/awesome-slugify,0.554,0.887
ellisonleao/pyshorteners,ibayer/fastFM,0.846,0.8
gotcha/ipdb,inducer/pudb,0.344,0.175
metawilm/cl-python,srusskih/SublimeJEDI,0.524,0.266
ionelmc/python-hunter,0rpc/zerorpc-python,0.968,0.619
audreyr/cookiecutter,psf/requests,0.829,0.352
Kotti/Kotti,pyeve/eve,0.63,0.478
jek/blinker,nficano/python-lambda,0.863,0.725
klen/pylama,stanfordnlp/stanza,0.798,0.916
facebookresearch/pytext,dahlia/wand,0.806,0.94
statsmodels/statsmodels,sympy/sympy,0.363,0.168
SciTools/cartopy,bloomberg/bqplot,0.372,0.101
keras-team/keras,binux/pyspider,0.939,0.287
timofurrer/try,pyinvoke/invoke,0.549,0.352
nucleic/enaml,jmcarp/robobrowser,0.945,0.953
jazzband/localshop,scottrogowski/code2flow,0.974,0.966
django/daphne,moggers87/salmon,0.372,0.603
benoitc/gunicorn,sergree/matchering,0.593,0.454
fabric/fabric,dahlia/wand,0.8,0.962
BVLC/caffe,chriskiehl/Gooey,0.884,0.976
noxrepo/pox,mininet/mininet,0.358,0.144
html5lib/html5lib-python,gawel/pyquery,0.123,0.056
python-excel/xlrd,pyexcel/pyexcel,0.03,0.06
Suor/funcy,erikrose/more-itertools,0.107,0.14
noxrepo/pox,napalm-automation/napalm,0.1,0.411
alecthomas/voluptuous,fabtools/fabtools,0.454,0.374
saffsd/langid.py,facebookresearch/pytext,0.075,0.078
mooz/percol,sloria/doitlive,0.1,0.094
binux/pyspider,Instagram/MonkeyType,0.54,0.503
mkdocs/mkdocs,getnikola/nikola,0.111,0.376
getsentry/sentry-python,esnme/ultrajson,0.843,0.931
bokeh/bokeh,falconry/falcon,0.546,0.883
dirn/When.py,timofurrer/maya,0.549,0.459
graphql-python/graphene,fogleman/Quads,0.9,0.731
frewsxcv/python-geojson,maxmind/geoip-api-python,0.343,0.118
fabianp/memory_profiler,nvdv/vprof,0.333,0.16
fengsp/plan,dbader/schedule,0.187,0.669
bloomreach/s4cmd,vispy/vispy,0.882,0.793
spotify/dh-virtualenv,spotify/dh-virtualenv,0.048,0.066
dateutil/dateutil,myusuf3/delorean,0.028,0.041
mpdavis/python-jose,gmr/queries,0.345,0.183
AtsushiSakai/PythonRobotics,facebookresearch/hydra,0.332,0.093
Cornices/cornice,facebookresearch/hydra,0.052,0.176
SerpentAI/SerpentAI,SerpentAI/SerpentAI,0.091,0.23
patx/pickledb,msiemens/tinydb,0.65,0.409
sloria/doitlive,fabianp/memory_profiler,0.807,0.298
python-attrs/attrs,clips/pattern,0.934,0.25
faif/python-patterns,vinta/pangu.py,0.761,0.183
beetbox/audioread,librosa/librosa,0.06,0.071
miso-belica/sumy,miso-belica/sumy,0.221,0.046
ahupp/python-magic,ahupp/python-magic,0.086,0.278
dbcli/litecli,jaraco/path.py,0.057,0.201
martinblech/xmltodict,stchris/untangle,0.036,0.146
carlospalol/money,lxneng/alipay,0.103,0.144
spyoungtech/grequests,psf/requests,0.193,0.767
hugapi/hug,spyoungtech/grequests,0.209,0.635
Parsely/streamparse,crossbario/autobahn-python,0.807,0.803
dfunckt/django-rules,mininet/mininet,0.837,0.771
jonathanslenders/python-prompt-toolkit,DamnWidget/anaconda,0.24,0.464
chapmanb/bcbio-nextgen,keunwoochoi/kapre,0.363,0.375
Bogdanp/dramatiq,coleifer/huey,0.205,0.254
PrefectHQ/prefect,knipknap/SpiffWorkflow,0.131,0.106
mindflayer/python-mocket,patrys/httmock,0.052,0.151
sunainapai/makesite,mkdocs/mkdocs,0.122,0.088
miracle2k/webassets,django-compressor/django-compressor,0.331,0.439
martinrusev/imbox,Cornices/cornice,0.334,0.641
joestump/python-oauth2,evonove/django-oauth-toolkit,0.051,0.077
h2oai/h2o-3,dmlc/xgboost,0.036,0.062
web2py/pydal,dahlia/awesome-sqlalchemy,0.084,0.162
boto/boto3,mobolic/facebook-sdk,0.152,0.125
mozillazg/python-pinyin,kiwicom/schemathesis,0.917,0.947
PySimpleGUI/PySimpleGUI,PySimpleGUI/PySimpleGUI,0.462,0.851
mingrammer/diagrams,altair-viz/altair,0.207,0.127
hhatto/nude.py,rossgoodwin/hmap,0.092,0.078
Suor/funcy,spotify/dh-virtualenv,0.951,0.151
deanmalmgren/textract,psf/requests-html,0.506,0.077
bloomreach/s4cmd,andialbrecht/sqlparse,0.21,0.464
aizvorski/scikit-video,abhiTronix/vidgear,0.054,0.254
facebookresearch/hydra,coleifer/huey,0.172,0.091
awesto/django-shop,awesto/django-shop,0.331,0.128
timofurrer/try,kiddouk/redisco,0.175,0.767
sdispater/pendulum,dirn/When.py,0.152,0.667
clips/pattern,facebookresearch/pytext,0.693,0.487
clips/pattern,stanfordnlp/stanza,0.379,0.358
WhyNotHugo/python-barcode,fogleman/Quads,0.219,0.201
sergree/matchering,sqlmapproject/sqlmap,0.354,0.225
psf/requests-html,michaelhelmick/lassie,0.153,0.045
idan/oauthlib,lepture/authlib,0.095,0.055
zachwill/moment,KoffeinFlummi/Chronyk,0.068,0.313
sergree/matchering,davidhalter/jedi,0.046,0.455
WiserTogether/django-remote-forms,wtforms/wtforms,0.21,0.074
bloomreach/s4cmd,s3tools/s3cmd,0.059,0.084
web2py/pydal,encode/orm,0.135,0.274
ellisonleao/pyshorteners,codeinthehole/purl,0.181,0.13
khamidou/lptrace,ionelmc/python-hunter,0.069,0.064
carlospalol/money,MicroPyramid/forex-python,0.069,0.044
willmcgugan/rich,SerpentAI/SerpentAI,0.599,0.25
gaojiuli/toapi,deanmalmgren/textract,0.206,0.166
selwin/python-user-agents,selwin/python-user-agents,0.556,0.621
hhatto/nude.py,dateutil/dateutil,0.91,0.573
dyve/django-bootstrap3,napalm-automation/napalm,0.37,0.34
pymc-devs/pymc3,pymc-devs/pymc3,0.124,0.38
lorien/grab,MechanicalSoup/MechanicalSoup,0.175,0.169
lk-geimfari/mimesis,martinblech/xmltodict,0.089,0.172
pallets/werkzeug,saltstack/salt,0.491,0.123
Maratyszcza/PeachPy,benfred/py-spy,0.297,0.175
Yelp/mrjob,Yelp/mrjob,0.093,0.072
scanny/python-pptx,python-openxml/python-docx,0.07,0.034
euske/pdfminer,Miserlou/Zappa,0.4,0.756
rogerbinns/apsw,rogerbinns/apsw,0.438,0.881
jpadilla/pyjwt,glamp/bashplotlib,0.655,0.932
chardet/chardet,Parisson/TimeSide,0.132,0.854
daboth/pagan,PyCQA/prospector,0.797,0.32
dbcli/pgcli,pallets/jinja,0.613,0.624
ray-project/ray,dask/dask,0.177,0.186
chardet/chardet,orsinium/textdistance,0.087,0.114
spotify/annoy,bpython/bpython,0.162,0.121
mailgun/flanker,wooey/wooey,0.338,0.087
dbcli/litecli,dbcli/pgcli,0.146,0.607
tyiannak/pyAudioAnalysis,nucleic/enaml,0.382,0.603
lektor/lektor,getpelican/pelican,0.076,0.032
sqlmapproject/sqlmap,sqlmapproject/sqlmap,0.613,0.065
dabeaz/ply,python-greenlet/greenlet,0.288,0.466
RaylockLLC/DearPyGui,RaylockLLC/DearPyGui,0.136,0.201
fabric/fabric,libvips/pyvips,0.682,0.538
TheAlgorithms/Python,keon/algorithms,0.322,0.524
huge-success/sanic,binux/pyspider,0.502,0.109
pennersr/django-allauth,pennersr/django-allauth,0.86,0.097
nucleic/enaml,chriskiehl/Gooey,0.683,0.372
vandersonmota/model_mommy,TheAlgorithms/Python,0.79,0.483
podio/valideer,schematics/schematics,0.79,0.181
lektor/lektor,michaelhelmick/lassie,0.706,0.122
libvips/pyvips,dahlia/wand,0.134,0.09
miracle2k/flask-assets,errbotio/errbot,0.04,0.12
martinblech/xmltodict,martinblech/xmltodict,0.077,0.054
alecthomas/voluptuous,Julian/jsonschema,0.094,0.123
fabianp/memory_profiler,benfred/py-spy,0.213,0.158
martinblech/xmltodict,pybee/toga,0.458,0.134
zoofIO/flexx,carlospalol/money,0.448,0.431
abhiTronix/vidgear,daviddrysdale/python-phonenumbers,0.382,0.595
benhamner/Metrics,benhamner/Metrics,0.52,0.15
faif/python-patterns,davedoesdev/python-jwt,0.816,0.184
Julian/jsonschema,alecthomas/voluptuous,0.149,0.107
python-pillow/Pillow,libvips/pyvips,0.08,0.063
pyenv/pyenv,python-greenlet/greenlet,0.871,0.349
ZoomerAnalytics/xlwings,scanny/python-pptx,0.64,0.131
aws/aws-cli,cloudnativelabs/kube-shell,0.46,0.13
pallets/markupsafe,Microsoft/PTVS,0.445,0.153
davidhalter/jedi,modoboa/modoboa,0.422,0.342
librosa/librosa,tyiannak/pyAudioAnalysis,0.304,0.295
xonsh/xonsh,thauber/django-schedule,0.852,0.687
django-compressor/django-compressor,sympy/sympy,0.631,0.759
WhyNotHugo/python-barcode,python-pillow/Pillow,0.711,0.45
psf/requests-html,SerpentAI/SerpentAI,0.903,0.34
libvips/pyvips,dylanaraps/pywal,0.063,0.219
buriy/python-readability,michaelhelmick/lassie,0.249,0.134
amoffat/sh,graphql-python/graphene,0.407,0.507
miso-belica/sumy,coleifer/micawber,0.305,0.233
lorien/grab,peterbrittain/asciimatics,0.855,0.353
LuminosoInsight/python-ftfy,ahupp/python-magic,0.914,0.437
idan/oauthlib,joestump/python-oauth2,0.176,0.063
ionelmc/python-manhole,ionelmc/python-hunter,0.481,0.105
esnme/ultrajson,martinrusev/imbox,0.3,0.137
mingrammer/diagrams,vispy/vispy,0.548,0.083
facebook/PathPicker,timofurrer/try,0.13,0.173
encode/apistar,tiangolo/fastapi,0.102,0.129
evonove/django-oauth-toolkit,idan/oauthlib,0.166,0.138
encode/orm,soravux/scoop,0.224,0.202
graphql-python/graphene,tartiflette/tartiflette-asgi,0.788,0.732
encode/httpx,psf/requests,0.441,0.339
facebook/PathPicker,moggers87/salmon,0.242,0.184
google/pytype,marrow/mailer,0.289,0.174
PyMySQL/mysqlclient-python,PyMySQL/PyMySQL,0.092,0.291
mstamy2/PyPDF2,euske/pdfminer,0.113,0.111
PyCQA/modernize,PyCQA/modernize,0.052,0.118
daboth/pagan,python-pillow/Pillow,0.075,0.029
Maratyszcza/PeachPy,rkern/line_profiler,0.099,0.274
ageitgey/face_recognition,JaidedAI/EasyOCR,0.145,0.109
pyparsing/pyparsing,dabeaz/ply,0.735,0.586
jiaaro/pydub,nvdv/vprof,0.303,0.505
zachwill/moment,h2oai/h2o-3,0.944,0.502
ajenti/ajenti,sshwsfc/xadmin,0.609,0.456
andialbrecht/sqlparse,google/pytype,0.325,0.198
django-crispy-forms/django-crispy-forms,Pylons/deform,0.048,0.103
nvbn/thefuck,pykong/copier,0.153,0.412
httplib2/httplib2,feincms/feincms,0.417,0.52
Pylons/waitress,jeffknupp/sandman2,0.088,0.085
kiddouk/redisco,stephenmcd/hot-redis,0.09,0.109
boppreh/keyboard,rsalmei/alive-progress,0.178,0.127
dbader/schedule,podio/valideer,0.083,0.138
r0x0r/pywebview,chriskiehl/Gooey,0.081,0.067
lincolnloop/python-qrcode,kornia/kornia,0.094,0.113
Suor/django-cacheops,jab/bidict,0.547,0.265
pallets/jinja,google/yapf,0.211,0.226
maciejkula/spotlight,ibayer/fastFM,0.379,0.603
jonathanslenders/python-prompt-toolkit,aaugustin/websockets,0.557,0.697
Theano/Theano,cloudnativelabs/kube-shell,0.578,0.456
zachwill/moment,PyMySQL/PyMySQL,0.21,0.372
tschellenbach/Stream-Framework,skorokithakis/shortuuid,0.643,0.392
PyCQA/prospector,scottrogowski/code2flow,0.594,0.295
miracle2k/flask-assets,zachwill/moment,0.327,0.715
mozilla/bleach,nvdv/vprof,0.334,0.754
tschellenbach/Stream-Framework,python-pillow/Pillow,0.326,0.702
mindsdb/mindsdb,benhamner/Metrics,0.045,0.652
vandersonmota/model_mommy,dbader/schedule,0.026,0.117
librosa/librosa,keunwoochoi/kapre,0.1,0.101
facebookresearch/pytext,PetrochukM/PyTorch-NLP,0.413,0.121
Parisson/TimeSide,keunwoochoi/kapre,0.427,0.105
alecthomas/voluptuous,schematics/schematics,0.032,0.044
sloria/doitlive,sloria/doitlive,0.051,0.046
amoffat/sh,spotify/annoy,0.76,0.782
pallets/itsdangerous,ionelmc/python-manhole,0.53,0.825
mininet/mininet,mininet/mininet,0.729,0.76
nficano/python-lambda,timofurrer/maya,0.917,0.659
statsmodels/statsmodels,asweigart/pyautogui,0.583,0.399
